,Brand,Resolution,Size,Selling Price,Original Price,Operating System,Rating
789,INTEX ,Full HD LED,43,35999,35999,Android,4.2
790,JVC,144Hz,65,55000,109000,Android,4.1
791,JVC,HD LED,32,16990,21000,Android,4.1
792,JVC,HD LED,24,12999,12999,Android,3.8
793,KRISONS,HD LED,19,5499,7999,Android,
794,KRISONS,HD LED,17,5499,6999,Android,
795,LLOYD ,Full HD LED,43,34990,48990,Linux,
796,LLOYD ,144Hz,50,44999,84990,Linux,4.3
797,LLOYD ,HD LED,32,18689,26957,Linux,
798,LLOYD ,Full HD LED,39,22990,39990,Linux,3.8
799,LLOYD ,Full HD LED,48,39999,50990,Linux,
800,LLOYD ,144Hz,43,33999,69990,Linux,4.2
801,LLOYD ,HD LED,32,14990,19990,Linux,4.3
802,LLOYD ,144Hz,42,25990,59900,Linux,3.5
803,LLOYD ,Full HD LED,55,114990,114990,Linux,
804,LLOYD ,Full HD LED,46,55990,55990,Linux,5.0
805,LLOYD ,HD LED,32,11000,20990,Linux,3.7
806,LLOYD ,HD LED,24,8103,15990,Linux,3.7
807,LLOYD ,144Hz,55,51999,99990,Linux,3.7
808,LLOYD ,HD LED,24,13200,14990,Linux,2.5
809,LLOYD ,Full HD LED,43,25490,39000,Linux,
810,LUMX ,HD LED,24,7290,17900,Android,4.3
811,LUMX ,HD LED,40,29990,29990,Android,
812,LUMX ,144Hz,55,65900,65900,Android,
813,MARQ BY FLIPKART,HD LED,24,7499,14999,,4.2
814,MARQ BY FLIPKART,Full HD LED,24,6999,11499,,4.3
815,MARQ BY FLIPKART,Full HD LED,32,9499,16499,,4.3
816,MARQ BY FLIPKART,HD LED,32,13499,15499,Android,4.1
817,MARQ BY FLIPKART,Full HD LED,40,18999,29499,Linux,4.3
818,MARQ BY FLIPKART,HD LED,32,10499,18499,Linux,4.3
819,MICROMAX,144Hz,43,91990,91990,Android,4.0
820,MICROMAX,Full HD LED,40,29990,29990,Android,4.0
821,MICROMAX,Full HD LED,49,65990,65990,Android,4.4
822,MICROMAX,Full HD LED,50,66990,66990,Android,4.3
823,MICROMAX,Full HD LED,55,71990,71990,Android,4.2
824,MICROMAX,HD LED,24,11999,13490,Android,3.9
825,MICROMAX,Full HD LED,24,6179,13390,Android,4.2
826,MICROMAX,HD LED,20,5364,10990,Android,4.1
827,MOTOROLA,144Hz,55,42999,61999,Android,4.4
828,MURPHY ,Full HD LED,32,13990,14999,,3.7
829,MURPHY ,HD LED,24,7490,12990,,3.0
830,MURPHY ,Full HD LED,32,16799,17999,Android,2.6
831,ONEPLUS,144Hz,50,43999,49999,Android,4.3
832,ONEPLUS,QLED Ultra HD,55,84990,99900,Android,4.8
833,ONEPLUS,144Hz,65,66999,69999,Android,4.3
834,ONEPLUS,QLED Ultra HD,55,62899,69900,Android,4.6
835,ONIDA,HD LED,24,8359,13490,Android,4.2
836,ONIDA,HD LED,32,22990,22990,Android,4.7
837,ONIDA,144Hz,43,33190,52900,Android,4.2
838,ONIDA,Full HD LED,32,56990,56990,Android,5.0
839,ONIDA,Full HD LED,32,35990,35990,Android,4.7
840,ONIX ,HD LED,32,19790,19790,Android,
841,ONIX ,HD LED,39,14990,26349,Android,3.7
842,ONIX ,Full HD LED,39,35990,35990,Android,
843,OXYGEN ,144Hz,65,56990,124990,Android,
844,OXYGEN ,144Hz,43,27999,42990,Android,
845,PANASONIC,144Hz,43,30001,79900,HomeOS,4.3
846,PANASONIC,144Hz,49,43259,66900,HomeOS,
847,PANASONIC,144Hz,55,55890,82400,HomeOS,
848,PHILIPS,Full HD LED,43,28999,35990,Linux,4.0
849,PHILIPS,HD LED,32,18999,20990,Linux,4.0
850,PHILIPS,Full HD LED,43,33459,36990,Android,4.5
851,PHILIPS,Full HD LED,22,6649,12990,,3.9
852,POWER GUARD,HD LED,24,10990,12990,HomeOS,
853,POWER GUARD,HD LED,24,11999,14990,Android,
854,POWER GUARD,HD LED,32,13300,19990,HomeOS,
855,POWER GUARD,HD LED,32,15650,28990,Android,
856,REALME ,HD LED,32,11999,21999,Linux,4.3
857,REALME ,144Hz,55,46999,69999,Android,4.3
858,RGL ,Full HD LED,20,4849,8990,HomeOS,3.9
859,RGL ,Full HD LED,21,5200,9420,HomeOS,3.9
860,RGL ,Full HD LED,24,5459,12000,HomeOS,3.9
861,RGL ,HD LED,32,11290,16990,HomeOS,3.7
862,WESTON ,Full HD LED,40,27990,27990,Android,4.4
863,WESTON ,Full HD LED,43,37990,37990,Android,3.9
864,WESTON ,144Hz,43,40990,40990,Android,4.3
865,WESTON ,Full HD LED,49,49990,49990,Android,4.4
866,VU,144Hz,65,116000,116000,Linux,4.5
867,VU,Full HD LED,40,16999,27000,Linux,4.4
868,VU,144Hz,43,23999,46165,Linux,4.3
869,VU,144Hz,50,26360,41990,Linux,4.4
870,VG ,HD LED,32,15990,20500,Android,
871,VG ,HD LED,39,17999,31000,Android,
872,T-SERIES,HD LED,32,12499,17990,Linux,
873,T-SERIES,HD LED,32,16499,18990,Android,3.9
874,T-SERIES,HD LED,32,15999,20990,Android,
875,T-SERIES,Full HD LED,40,18499,25990,Android,
876,TOSHIBA,Full HD LED,43,24999,31990,VIDAA,
877,TOSHIBA,144Hz,65,66999,84990,VIDAA,4.5
878,TOSHIBA,Full HD LED,49,29999,51999,VIDAA,
879,TOSHIBA,144Hz,65,96999,133990,VIDAA,
880,TCL ,HD LED,32,6166,19990,HomeOS,4.2
881,TCL ,HD LED,24,6940,15490,HomeOS,4.2
882,TCL ,HD LED,40,8679,29990,HomeOS,4.0
883,SHARP ,Full HD LED,60,229900,229900,Linux,
