,Brand,Resolution,Size,Selling Price,Original Price,Operating System,Rating
233,LG ,Full HD LED,49,77990,77990,WebOS,4.8
234,TOSHIBA,HD LED,32,17499,18990,VIDAA,4.3
235,IFFALCON BY TCL,144Hz,75,149999,239999,Android,4.2
236,PANASONIC,Full HD LED,32,22990,24990,Android,4.2
237,LG ,144Hz,65,93999,129990,WebOS,4.5
238,SAMSUNG,144Hz,50,53200,64990,Tizen,
239,T-SERIES,HD LED,32,12499,14990,Linux,3.7
240,SAMSUNG,QLED Ultra HD,65,148990,259900,Tizen,
241,SAMSUNG,144Hz,43,49990,62900,Tizen,
242,ONIDA,Full HD LED,40,17999,29990,Android,4.1
243,LG ,144Hz,65,262999,364990,WebOS,
244,LG ,144Hz,55,149999,229990,WebOS,4.3
245,LG ,144Hz,65,224999,379990,WebOS,5.0
246,HAIER ,144Hz,43,34999,43990,Android,4.1
247,SONY ,HD LED,32,26374,29800,Android,4.4
248,SONY ,Full HD LED,50,60291,64900,Linux,4.5
249,SANSUI ,144Hz,55,119990,119990,Android,4.3
250,TCL ,144Hz,55,47499,79990,Android,3.9
251,VU,144Hz,55,41999,58000,Android,4.4
252,RGL ,HD LED,24,9990,12990,HomeOS,4.0
253,SAMSUNG,144Hz,65,294900,294900,Tizen,4.7
254,LG ,144Hz,70,94990,169990,WebOS,
255,MI ,HD LED,32,15999,15999,Android,4.4
256,KODAK ,HD LED,32,11499,20990,Android,4.3
257,SAMSUNG,Full HD LED,43,38990,56945,Tizen,
258,SONY ,144Hz,65,259999,449900,Android,4.3
259,SAMSUNG,144Hz,65,159500,234900,Tizen,4.6
260,LG ,144Hz,65,164999,264990,WebOS,4.7
261,SONY ,144Hz,65,149999,244900,Android,4.7
262,SAMSUNG,QLED Ultra HD,49,74990,129900,Tizen,4.7
263,PHILIPS,Full HD LED,43,28999,35990,Linux,4.1
264,ONIDA,144Hz,58,53199,79990,Android,4.2
265,SAMSUNG,144Hz,75,169990,254900,Tizen,
266,SAMSUNG,QLED Ultra HD,55,84999,133900,Tizen,4.6
267,LG ,144Hz,55,124999,177990,WebOS,4.4
268,LG ,144Hz,75,385099,549990,WebOS,
269,CANDES ,HD LED,32,11299,22690,Android,3.9
270,SAMSUNG,144Hz,49,179900,179900,Tizen,4.3
271,SAMSUNG,Full HD LED,43,62900,62900,Tizen,3.9
272,SONY ,144Hz,55,80799,94900,Linux,4.6
273,SONY ,144Hz,49,64599,76900,Android,4.6
274,DYANORA,HD LED,32,12499,18999,Android,
275,MOTOROLA,144Hz,43,30999,46050,Android,4.3
276,SAMSUNG,QLED Ultra HD,65,470900,470900,Tizen,
277,SONY ,144Hz,55,129990,155990,Linux,
278,SAMSUNG,144Hz,55,61890,79400,Tizen,
279,SAMSUNG,QLED Ultra HD,65,199990,284990,Tizen,
280,SAMSUNG,144Hz,55,204900,204900,Tizen,3.0
281,TCL ,Full HD LED,40,26990,39990,Android,4.2
282,LG ,144Hz,55,64990,102990,WebOS,4.3
283,SAMSUNG,QLED Ultra HD,55,314900,314900,Tizen,
284,SANSUI ,144Hz,55,69200,69200,Android,3.7
285,LLOYD ,144Hz,65,74999,153990,Linux,4.8
286,SONY ,144Hz,55,109999,164900,Android,3.6
287,THOMSON,HD LED,32,16999,16999,Android,4.1
288,LG ,144Hz,55,61999,94990,WebOS,
289,PHILIPS,HD LED,32,18999,20990,Android,4.1
290,SAMSUNG,144Hz,49,64499,99900,Tizen,4.5
291,LG ,144Hz,55,81999,149990,WebOS,4.8
292,PANASONIC,HD LED,32,28399,28400,Android,4.2
293,LG ,144Hz,65,199999,349990,WebOS,
294,SAMSUNG,144Hz,65,89990,124990,Tizen,
295,LUMX ,Full HD LED,43,21990,46900,Android,
296,SAMSUNG,QLED Ultra HD,43,59700,82400,Tizen,
297,LG ,144Hz,65,269999,339990,WebOS,
298,SAMSUNG,144Hz,75,239999,394900,Tizen,
299,SAMSUNG,144Hz,55,241900,241900,Tizen,3.9
300,SAMSUNG,144Hz,65,122299,209900,Tizen,4.7
301,SONY ,144Hz,55,164999,329900,Android,4.7
302,LG ,Full HD LED,49,74990,74990,WebOS,4.5
303,SONY ,144Hz,65,179999,224900,Android,4.9
304,SAMSUNG,QLED Ultra HD,65,258999,419900,Tizen,
305,SONY ,144Hz,65,112100,179990,Android,4.7
306,SONY ,HD LED,32,26990,29900,Linux,4.4
307,SANSUI ,HD LED,32,21499,22990,Android,
308,LG ,Full HD LED,43,38899,45900,WebOS,3.7
309,SAMSUNG,144Hz,55,62980,80000,Tizen,
310,LG ,144Hz,65,89978,149990,WebOS,
311,PANASONIC,144Hz,55,50499,65490,Linux,
312,TCL ,144Hz,65,86091,109990,Android,4.3
313,SAMSUNG,Full HD LED,55,118900,118900,Tizen,4.0
314,SONY ,144Hz,50,81990,99900,Android,4.7
315,SAMSUNG,144Hz,49,129900,129900,Tizen,4.4
316,LG ,Full HD LED,49,64900,64900,WebOS,4.2
317,CROMA ,144Hz,55,50990,75000,FireTV OS,
318,SAMSUNG,HD LED,32,18490,22500,Tizen,4.0
319,LG ,144Hz,55,114999,189990,WebOS,2.7
320,CANDES ,Full HD LED,40,15999,29990,Android,4.1
321,SAMSUNG,144Hz,65,89990,115990,Tizen,
322,PHILIPS,144Hz,50,37999,105990,Android,4.2
323,IFFALCON BY TCL,144Hz,55,43999,73990,Android,4.4
324,SAMSUNG,144Hz,50,125900,125900,Tizen,4.3
325,MICROMAX,HD LED,32,15990,22990,Android,4.2
326,LG ,144Hz,49,80990,80990,WebOS,4.5
327,LG ,144Hz,65,149999,219990,WebOS,5.0
328,LG ,Full HD LED,49,67990,67990,WebOS,4.5
329,SAMSUNG,144Hz,50,51990,67069,Tizen,4.0
330,SAMSUNG,QLED Ultra HD,55,274900,274900,Tizen,5.0
331,LG ,144Hz,55,324990,324990,WebOS,4.6
332,ONIX ,144Hz,50,49990,59990,Android,
333,SAMSUNG,QLED Ultra HD,50,69990,99990,Tizen,4.0
334,SAMSUNG,Full HD LED,43,45785,45900,Tizen,
335,SAMSUNG,QLED Ultra HD,55,121999,143900,Tizen,4.3
336,CROMA ,HD LED,32,14990,25000,FireTV OS,
337,ACER,HD LED,32,14999,22990,Android,3.9
338,SAMSUNG,Full HD LED,48,49990,77900,Tizen,3.7
339,SAMSUNG,144Hz,75,159990,266900,Tizen,
340,IFFALCON BY TCL,QLED Ultra HD,65,156990,156990,Android,
341,SAMSUNG,144Hz,43,44990,78000,Tizen,
342,SAMSUNG,QLED Ultra HD,65,162900,209900,Tizen,
343,SAMSUNG,144Hz,55,145900,145900,Tizen,4.8
344,LG ,144Hz,65,109999,209990,WebOS,5.0
345,DYANORA,144Hz,50,27599,40999,Android,
346,IMPEX ,HD LED,32,28690,28690,HomeOS,
347,SAMSUNG,144Hz,43,89850,89850,Tizen,4.1
348,LG ,144Hz,65,349999,499990,WebOS,
349,SAMSUNG,QLED Ultra HD,55,139990,209900,Tizen,
350,SONY ,144Hz,65,142499,199900,Android,
351,SAMSUNG,144Hz,65,167199,269900,Tizen,
352,IMPEX ,HD LED,39,29079,39990,HomeOS,4.2
353,LG ,144Hz,49,120989,120990,WebOS,4.4
354,CROMA ,Full HD LED,43,31990,40000,Android,
355,SONY ,144Hz,43,63990,72900,Linux,4.4
356,SAMSUNG,QLED Ultra HD,55,105990,162900,Tizen,
357,IMPEX ,HD LED,40,28399,45990,HomeOS,
358,VU,QLED Ultra HD,85,259999,350000,Android,4.4
359,SAMSUNG,144Hz,55,154900,154900,Tizen,5.0
360,CANDES ,Full HD LED,40,15999,29990,Android,4.1
361,SONY ,144Hz,50,72715,92900,Android,
362,SAMSUNG,Full HD LED,49,65999,82500,Tizen,4.3
363,SAMSUNG,QLED Ultra HD,65,144900,229990,Tizen,
364,LG ,144Hz,65,229000,359990,WebOS,
365,TCL ,HD LED,32,15000,29990,Android,4.2
366,SANSUI ,144Hz,43,29490,32290,Android,4.1
367,SAMSUNG,QLED Ultra HD,65,122290,222900,Tizen,4.5
368,SAMSUNG,144Hz,55,284900,284900,Tizen,3.6
369,SAMSUNG,144Hz,65,103990,135900,Tizen,
370,LG ,144Hz,55,97990,139989,WebOS,
371,SAMSUNG,HD LED,24,15200,15200,Tizen,4.2
372,VU,144Hz,55,46899,75000,Android,4.4
373,CANDES ,HD LED,24,9999,17990,Android,4.1
374,HISENSE,HD LED,32,17499,17990,Android,4.2
375,ONIDA,HD LED,39,23990,31990,Android,3.9
376,SAMSUNG,Full HD LED,49,45700,66900,Tizen,4.2
377,CANDES ,Full HD LED,40,15999,29990,Android,4.1
378,SAMSUNG,144Hz,49,146900,146900,Tizen,4.5
379,LG ,Full HD LED,49,40000,65900,Linux,4.2
380,BPL ,144Hz,55,50490,73000,Android,
381,DYANORA,HD LED,24,7999,10999,Android,4.3
382,SAMSUNG,HD LED,32,19599,25900,Tizen,4.3
383,SAMSUNG,QLED Ultra HD,65,219990,257900,Tizen,
384,SAMSUNG,QLED Ultra HD,55,89990,163900,Tizen,4.7
385,CROMA ,144Hz,43,35990,50000,FireTV OS,5.0
386,CLOUDWALKER,144Hz,65,59999,94990,Android,4.0
387,TCL ,QLED Ultra HD,55,47990,99990,Android,
388,MARQ BY FLIPKART,144Hz,65,64999,94499,Android,4.4
389,LG ,144Hz,75,189999,284990,WebOS,3.0
390,PANASONIC,144Hz,65,86890,93500,Linux,
391,SAMSUNG,QLED Ultra HD,50,69744,99900,Tizen,
392,NOKIA ,144Hz,65,57999,79999,Android,4.3
393,THOMSON,HD LED,32,13499,15499,Android,4.4
394,SAMSUNG,Full HD LED,43,36990,38900,Tizen,4.1
395,THOMSON,Full HD LED,43,20499,25999,Android,4.4
396,BLAUPUNKT,HD LED,32,12999,19499,Android,4.4
397,LLOYD ,HD LED,32,20990,25900,Linux,4.8
398,OXYGEN ,144Hz,50,35990,52990,Android,
399,PANASONIC,144Hz,65,90314,119990,Linux,
400,CROMA ,HD LED,32,20990,30000,Android,3.7
401,CROMA ,Full HD LED,43,30990,40000,FireTV OS,
402,MICROMAX,HD LED,32,23989,23990,Android,4.2
403,SAMSUNG,HD LED,32,23000,25900,Tizen,4.4
404,POWER GUARD,HD LED,32,15499,24990,Android,
405,AKAI ,144Hz,65,72940,124990,Android,
406,VG ,144Hz,43,24990,51000,Android,
407,CROMA ,HD LED,32,19490,25000,FireTV OS,
408,INFINIX,Full HD LED,40,18999,26990,Android,4.2
409,ADSUN,HD LED,24,6799,10999,Android,3.8
410,TCL ,144Hz,65,68990,127445,Android,4.5
411,KODAK ,Full HD LED,43,22499,24999,Android,4.4
412,MOTOROLA,Full HD LED,43,27999,35500,Android,4.3
413,ONIX ,Full HD LED,43,29990,38790,Android,4.9
414,SUN KING,HD LED,32,24999,49998,,
415,LG ,144Hz,48,105990,110690,WebOS,
416,LG ,144Hz,65,174999,209990,WebOS,
417,TCL ,HD LED,32,15499,22990,Android,4.2
418,ONIX ,Full HD LED,43,39000,46990,Android,
419,TCL ,144Hz,55,104999,239990,Android,
420,SAMSUNG,144Hz,55,149900,149900,Tizen,
421,HAIER ,Full HD LED,43,30490,38990,Android,4.3
422,VG ,HD LED,39,18990,26000,Android,
423,SAMSUNG,144Hz,49,129900,129900,Tizen,3.4
424,LG ,Full HD LED,49,77900,77900,WebOS,4.1
425,SAMSUNG,144Hz,49,136500,136500,Tizen,4.4
426,KODAK ,HD LED,32,11499,15999,Android,4.1
427,ONIX ,HD LED,32,15990,16990,Android,
428,LG ,144Hz,48,103990,199990,WebOS,
429,SAMSUNG,QLED Ultra HD,49,84990,110900,Tizen,
430,SANSUI ,144Hz,43,34999,34999,Android,4.3
431,PANASONIC,HD LED,32,21078,25490,Android,
432,SANSUI ,HD LED,32,16990,20990,Linux,4.1
433,SAMSUNG,Full HD LED,43,48900,48900,Tizen,4.2
434,CANDES ,Full HD LED,40,15999,29990,Android,4.1
435,SAMSUNG,144Hz,65,94990,145900,Tizen,2.8
436,COMPAQ ,QLED Ultra HD,65,99999,229990,Android,4.4
437,PANASONIC,144Hz,65,103353,129990,Linux,
438,HUIDI ,HD LED,32,10999,18599,Android,4.0
439,IMPEX ,HD LED,32,29790,29790,HomeOS,
440,HUIDI ,HD LED,24,7499,10999,Android,4.0
441,LG ,HD LED,32,18450,19990,Linux,4.2
442,ADSUN,HD LED,32,9799,21999,Android,3.8
443,MICROMAX,HD LED,32,13999,24990,Android,3.7
444,CROMA ,HD LED,32,15990,20000,Android,
445,SANSUI ,HD LED,32,15290,20990,Linux,
446,TCL ,QLED Ultra HD,65,89999,189990,Android,4.4
447,HUIDI ,HD LED,40,16999,27999,Android,4.0
448,COOCAA ,HD LED,32,12499,25990,Android,4.2
449,TCL ,QLED Ultra HD,55,59999,189990,Android,3.9
450,SANSUI ,Full HD LED,40,24990,29290,Linux,3.7
451,INTEX ,HD LED,39,19800,33330,Android,4.2
452,SAMSUNG,QLED Ultra HD,49,64990,101900,Tizen,4.8
453,SAMSUNG,QLED Ultra HD,55,105990,189990,Tizen,
454,LUMX ,HD LED,32,11990,26900,Android,3.7
455,CANDES ,Full HD LED,43,20999,38490,Android,4.1
456,HAIER ,144Hz,65,69590,106990,Android,
457,HAIER ,144Hz,65,99999,149990,Android,
458,LLOYD ,Full HD LED,39,22990,32990,Linux,4.1
459,SAMSUNG,HD LED,32,17999,23890,Tizen,4.2
460,DETEL ,144Hz,55,35199,89000,Android,4.0
461,BPL ,144Hz,50,42490,60000,Android,
462,LG ,144Hz,49,59999,110990,WebOS,4.3
463,LG ,144Hz,65,99990,169990,WebOS,4.5
464,HAIER ,HD LED,32,18590,31090,Android,
465,JVC,144Hz,55,37999,59999,Android,4.1
466,PANASONIC,144Hz,43,35999,84900,Linux,4.4
467,HAIER ,HD LED,32,18290,22990,Android,4.0
468,T-SERIES,HD LED,40,19999,28990,Android,
469,T-SERIES,HD LED,32,15990,16990,Linux,
470,LLOYD ,HD LED,32,18689,26957,Linux,
471,LLOYD ,Full HD LED,43,34990,48990,Linux,
472,BPL ,HD LED,32,16499,27000,Android,3.7
473,LG ,144Hz,49,58999,90990,WebOS,4.3
474,BPL ,HD LED,43,28990,35999,Android,
475,SAMSUNG,HD LED,32,26900,26900,Tizen,4.0
476,SONY ,144Hz,65,191492,364900,Android,3.8
477,LLOYD ,144Hz,50,44999,84990,Linux,4.3
478,LG ,144Hz,65,189999,299990,WebOS,2.7
479,CANDES ,HD LED,24,8699,15990,Android,3.9
480,SAMSUNG,144Hz,50,52890,70900,Tizen,4.0
481,IMPEX ,Full HD LED,43,27039,32039,HomeOS,4.0
482,HAIER ,Full HD LED,50,42999,59990,Android,
483,LG ,144Hz,43,79990,79990,WebOS,4.4
484,LG ,144Hz,65,84990,129990,WebOS,
485,SAMSUNG,144Hz,55,229900,229900,Tizen,
486,LLOYD ,HD LED,31,16485,22990,Linux,4.3
487,TOSHIBA,144Hz,65,63999,119999,VIDAA,
488,LG ,144Hz,55,62490,79990,WebOS,4.0
489,SAMSUNG,144Hz,55,67990,86900,Tizen,3.9
490,POWER GUARD,144Hz,55,41999,58990,Android,
491,LG ,Full HD LED,43,39290,49990,WebOS,4.2
492,T-SERIES,Full HD LED,43,26999,33990,Android,
493,AKAI ,144Hz,55,46345,59990,Android,
494,POWER GUARD,HD LED,32,13300,19990,Android,
495,POWER GUARD,144Hz,49,34900,54990,Android,
496,CANDES ,HD LED,24,9999,17990,Android,4.1
497,KODAK ,144Hz,49,47990,50999,Android,4.1
498,T-SERIES,HD LED,40,19999,28990,Android,
499,POWER GUARD,QLED Ultra HD,50,51990,59990,Android,
500,JVC,144Hz,43,26990,52000,Android,4.3
501,T-SERIES,HD LED,40,19999,28990,Android,
502,DYANORA,HD LED,40,15499,23999,Android,2.4
503,SAMSUNG,Full HD LED,49,92500,92500,Tizen,4.1
504,POWER GUARD,QLED Ultra HD,55,69990,74990,Android,
505,JVC,144Hz,55,45000,69000,Android,3.9
506,POWER GUARD,144Hz,65,55990,89990,Android,
507,HISENSE,QLED Ultra HD,75,499990,499990,Android,
508,SONY ,144Hz,43,40999,61900,Android,4.6
509,SAMSUNG,Full HD LED,43,31990,38900,Tizen,4.4
510,SAMSUNG,Full HD LED,43,36890,45900,Tizen,4.7
511,SAMSUNG,Full HD LED,43,39999,49900,Tizen,4.3
512,IFFALCON BY TCL,144Hz,65,53499,156990,Android,4.3
513,MI ,144Hz,55,47999,54999,Android,4.4
514,SAMSUNG,144Hz,55,51999,72900,Tizen,4.5
515,MOTOROLA,144Hz,50,34999,54050,Android,4.3
516,TCL ,144Hz,55,38356,89990,Android,
517,TCL ,144Hz,43,29999,55990,Linux,4.1
518,KODAK ,Full HD LED,40,15499,31990,Android,4.3
519,SAMSUNG,Full HD LED,43,34999,58900,Tizen,4.5
520,MICROMAX,HD LED,32,12990,25075,Android,4.0
521,SONY ,144Hz,49,49999,104900,Android,4.5
522,LG ,144Hz,43,36990,52990,WebOS,4.4
523,SONY ,HD LED,32,14023,25900,Android,4.4
524,THOMSON,144Hz,65,47999,79999,Android,4.4
525,THOMSON,Full HD LED,43,17999,26999,Android,4.2
526,SAMSUNG,144Hz,43,43751,77900,Tizen,4.4
527,TCL ,144Hz,55,37319,51990,Linux,4.3
528,LG ,144Hz,75,149990,269900,WebOS,
529,TOSHIBA,144Hz,55,40599,50999,VIDAA,4.3
530,SAMSUNG,144Hz,43,36999,66900,Tizen,4.5
531,PHILIPS,144Hz,65,78999,199990,Android,4.6
532,VU,144Hz,55,29950,49990,Linux,4.4
533,MICROMAX,144Hz,55,49999,69990,Android,4.2
534,LG ,144Hz,43,37890,49990,WebOS,4.5
535,SONY ,144Hz,49,60999,84900,Linux,4.5
536,LG ,144Hz,55,84999,166990,WebOS,4.5
537,SAMSUNG,Full HD LED,43,36514,46900,Tizen,4.5
538,G-TEN ,HD LED,40,15990,35890,Android,3.7
539,LG ,144Hz,49,47249,73990,WebOS,4.3
540,TCL ,144Hz,50,33999,62990,Android,4.4
541,TCL ,144Hz,43,27889,52990,Android,4.4
542,SAMSUNG,HD LED,32,11999,21900,Tizen,4.4
543,LG ,144Hz,65,102890,172990,WebOS,5.0
544,IMPEX ,HD LED,39,19039,26350,HomeOS,
545,LG ,HD LED,28,13945,17990,Linux,4.4
546,SONY ,Full HD LED,40,31999,37990,Android,4.3
547,IFFALCON BY TCL,144Hz,55,31999,70990,Android,4.4
548,SONY ,HD LED,32,20738,22990,Android,5.0
549,TCL ,HD LED,32,15499,25990,Linux,4.1
550,COMPAQ ,QLED Ultra HD,55,59999,99999,Android,4.4
551,SAMSUNG,Full HD LED,43,36999,58900,Tizen,4.3
552,PHILIPS,Full HD LED,43,24999,55990,Linux,4.0
553,HAIER ,Full HD LED,40,25590,36990,Android,4.7
554,SAMSUNG,144Hz,43,36106,69900,Tizen,4.3
555,SAMSUNG,Full HD LED,43,24726,45900,Tizen,3.8
556,TCL ,144Hz,43,25999,48990,Linux,4.1
557,VU,144Hz,75,84999,130000,Linux,4.1
558,SKYWORTH,HD LED,24,8659,12490,,3.0
559,MASER ,HD LED,24,7499,7999,,3.8
560,IMPEX ,Full HD LED,43,36379,52990,HomeOS,4.0
561,SAMSUNG,HD LED,32,15210,27900,Tizen,4.3
562,TCL ,HD LED,24,7499,11990,HomeOS,4.0
563,PHILIPS,Full HD LED,42,42000,42000,Android,3.8
564,MICROMAX,HD LED,32,14999,27990,Android,4.1
565,SANYO ,144Hz,55,50999,76990,Linux,4.5
566,SONY ,144Hz,55,134993,299900,Linux,
567,SONY ,HD LED,32,22999,27990,Linux,4.4
568,MICROMAX,HD LED,20,6498,10590,Android,4.2
569,SONY ,144Hz,55,82493,129900,Android,4.8
570,LG ,HD LED,32,28311,30900,WebOS,3.7
571,VU,HD LED,32,13999,19000,Android,4.3
572,SONY ,144Hz,49,66104,129900,Android,4.4
573,SAMSUNG,144Hz,43,35999,52900,Tizen,4.5
574,PANASONIC,Full HD LED,43,36999,49900,Android,4.4
575,LG ,144Hz,50,44990,66990,WebOS,4.4
576,LG ,HD LED,24,14771,15900,Linux,4.4
577,MICROMAX,HD LED,32,10499,19990,Android,4.3
578,SAMSUNG,HD LED,32,17499,20900,Tizen,4.3
579,VU,Full HD LED,40,16999,32175,Android,4.4
580,SAMSUNG,Full HD LED,40,19929,43476,Tizen,4.3
581,TCL ,QLED Ultra HD,75,149990,399990,Android,3.9
582,IFFALCON BY TCL,144Hz,43,29999,76990,Android,4.3
583,PANASONIC,Full HD LED,49,42999,72900,Linux,4.2
584,VU,Full HD LED,43,22499,31000,Android,4.2
585,MURPHY ,Full HD LED,32,12990,16990,,
586,HISENSE,QLED Ultra HD,65,84990,109990,Android,
587,CLOUDWALKER,144Hz,55,36999,61990,Android,4.1
588,SONY ,Full HD LED,32,31990,39990,Linux,4.5
589,SANYO ,144Hz,49,39999,64990,Linux,3.9
590,PANASONIC,Full HD LED,43,27990,56900,Android,4.1
591,VU,144Hz,50,37254,60000,Android,4.3
592,LG ,144Hz,55,115658,212490,WebOS,4.6
593,SONY ,144Hz,65,152999,269900,Android,4.5
594,MICROMAX,Full HD LED,40,18990,36663,Android,4.2
595,LG ,Full HD LED,22,13933,14500,Linux,4.6
596,LG ,HD LED,24,14495,14500,Linux,4.4
597,SONY ,144Hz,65,140791,209900,Android,4.8
598,VU,144Hz,50,27999,55000,Android,4.4
599,MI ,144Hz,55,43477,44999,Android,
600,TCL ,Full HD LED,40,19489,36419,Linux,4.1
601,PANASONIC,144Hz,65,114999,179900,Linux,4.8
602,LG ,144Hz,43,36999,55990,WebOS,4.5
603,LG ,HD LED,32,19603,26490,Linux,4.4
604,SAMSUNG,Full HD LED,50,36900,36900,Tizen,3.8
605,PHILIPS,144Hz,55,48999,89990,Android,4.0
606,MICROMAX,HD LED,22,8900,10000,Android,4.2
607,VU,144Hz,50,50000,50000,Android,4.4
608,MI ,Full HD LED,49,32994,32999,Android,4.4
609,INTEX ,HD LED,32,12699,27990,Android,3.6
610,KODAK ,Full HD LED,49,22999,31990,Android,4.3
611,PHILIPS,HD LED,32,10840,24990,Android,4.1
612,ONIDA,Full HD LED,49,29990,50990,Android,4.4
613,DEKTRON,HD LED,24,6999,10999,Linux,4.3
614,RGL ,Full HD LED,21,5200,9420,HomeOS,3.9
615,SONY ,Full HD LED,52,37900,37900,Linux,4.6
616,CLOUDWALKER,Full HD LED,43,17499,32990,Android,4.3
617,LG ,HD LED,24,15552,16900,Linux,2.0
618,TOSHIBA,144Hz,43,28999,38999,VIDAA,
619,LG ,Full HD LED,22,12453,13500,Linux,4.1
620,IFFALCON BY TCL,HD LED,32,13990,18990,Android,4.2
621,LG ,Full HD LED,32,32527,38900,WebOS,4.3
622,SAMSUNG,Full HD LED,40,33000,43850,Tizen,3.8
623,MICROMAX,HD LED,24,5792,11990,Android,4.3
624,CLOUDWALKER,144Hz,55,84500,84500,Android,3.7
625,SAMSUNG,Full HD LED,32,20126,40900,Tizen,4.4
626,SAMSUNG,Full HD LED,32,15990,34900,Tizen,4.2
627,VU,HD LED,32,14999,15000,Android,4.3
628,LUMX ,HD LED,32,11990,23900,Android,
629,PANASONIC,Full HD LED,43,53999,59900,Android,4.4
630,RGL ,Full HD LED,22,5490,9990,HomeOS,3.9
631,LG ,Full HD LED,32,31990,31990,WebOS,4.4
632,CLOUDWALKER,HD LED,32,11999,19990,Android,4.3
633,SHARP ,144Hz,50,37396,79990,Linux,
634,CANDES ,Full HD LED,40,15999,29990,Android,4.1
635,AKAI ,HD LED,32,17500,23190,Android,
636,SONY ,Full HD LED,50,52999,79900,Linux,4.5
637,LG ,Full HD LED,43,25999,35990,WebOS,4.3
638,CANDES ,HD LED,24,9999,17990,Android,4.1
639,ONIDA,144Hz,43,29800,49990,Android,4.1
640,MOTOROLA,144Hz,55,39999,61600,Android,4.3
641,VU,144Hz,43,23999,46165,Android,4.3
642,CLOUDWALKER,Full HD LED,39,14999,26990,Android,4.2
643,LG ,HD LED,32,20776,28990,WebOS,4.5
644,CLOUDWALKER,HD LED,32,17989,17990,Android,4.3
645,CLOUDWALKER,Full HD LED,43,21999,31990,Android,4.0
646,LG ,HD LED,24,6765,13490,Linux,4.3
647,DETEL ,HD LED,32,7833,21999,Android,4.2
648,VU,HD LED,32,10999,18000,Android,4.4
649,CLOUDWALKER,144Hz,43,24999,37990,Android,3.9
650,PANASONIC,HD LED,32,27399,27400,Android,4.4
651,PANASONIC,144Hz,49,62999,111900,Android,2.8
652,PANASONIC,144Hz,55,90104,178900,Linux,
653,LG ,Full HD LED,43,24930,45674,Linux,4.0
654,MICROMAX,HD LED,32,16825,23990,Android,4.3
655,PANASONIC,Full HD LED,32,62900,62900,Android,
656,KRISONS,HD LED,20,6599,7999,Android,
657,PANASONIC,Full HD LED,40,34639,39900,Android,4.1
658,THOMSON,144Hz,43,24999,39999,Android,4.4
659,WESTON ,144Hz,55,59990,59990,Android,4.2
660,SAMSUNG,HD LED,32,13990,28900,Tizen,4.5
661,TCL ,144Hz,65,159990,159990,Android,
662,PANASONIC,HD LED,32,26999,29900,Android,4.2
663,CROMA ,HD LED,32,13994,20000,Android,3.6
664,TCL ,144Hz,55,116990,116990,Android,
665,BLAUPUNKT,144Hz,55,29199,60000,Android,3.8
666,TCL ,144Hz,65,159990,159990,Android,
667,PANASONIC,HD LED,32,26999,29900,Android,4.2
668,CROMA ,HD LED,32,13994,20000,Android,3.6
669,TCL ,144Hz,55,116990,116990,Android,
670,RGL ,Full HD LED,50,35990,39990,HomeOS,3.9
671,SAMSUNG,Full HD LED,46,87500,87500,Tizen,3.7
672,AISEN  ,144Hz,55,63900,64900,Android,
673,PANASONIC,144Hz,55,168900,168900,Android,3.8
674,AISEN  ,144Hz,49,47900,48900,Android,
675,SAMSUNG,144Hz,55,178900,178900,Tizen,3.9
676,SAMSUNG,Full HD LED,46,145500,145500,Tizen,
677,SAMSUNG,Full HD LED,60,210900,210900,Tizen,
678,SAMSUNG,Full HD LED,55,160500,160500,Tizen,
679,SAMSUNG,Full HD LED,46,139990,139990,Tizen,4.5
680,SAMSUNG,Full HD LED,55,189900,189900,Tizen,4.6
